global_id,chapter,section,section_name,source_question_no,pdf_page_start,pdf_page_end,answer,question
q124,2,tf,是非題,20,20,20,X,循環流程圖是在當前可使用的生產要素數量與生產技術水準下，經濟體系所 可能生產的不同產出組合的圖形。
q125,2,tf,是非題,21,20,20,X,生產可能曲線其線上與線內所有的點都代表有效率的產出組合。
q126,2,tf,是非題,22,20,20,X,由於機會成本遞減，所以生產可能曲線具有向外凸出的形狀。
q127,2,tf,是非題,22,20,20,O,技術進步與生產要素數量增加 (如廠商進行投資使機器數量增加)都會使生 產可能曲線往外移，而這也顯示一國的經濟成長。
q128,2,tf,是非題,23,20,20,O,生產可能曲線簡化了複雜的經濟體系而凸顯出一些基本但有用的經濟概 念：稀少性、效率、取捨、機會成本與經濟成長。
q129,2,tf,是非題,24,20,20,X,總體經濟學研究家戶與廠商如何作決策以及它們如何在特定的市場中互動。
q130,2,tf,是非題,25,20,20,X,個體經濟學與總體經濟學是相互獨立的。
q131,2,tf,是非題,26,20,20,O,經濟學家可能有不同的價值觀，因而對政策應有的目標有不同的看法。
q132,2,tf,是非題,27,20,20,O,有時候經濟學家意見相左是因為他們對不同理論的有效性，有不同的直覺想 法。
q133,2,tf,是非題,28,20,20,X,有時候經濟學會對一些公共政策有標準答案。
q134,2,tf,是非題,29,20,20,X,政府調降遺產稅稅率可能可以使未來的貧富差距縮小。
q135,2,tf,是非題,30,21,21,O,理論上，政府調降遺產稅稅率可能可以使政府稅收增加。
q136,2,tf,是非題,31,21,21,X,小混混拿磚頭砸破麵包店的窗戶會使社會的總支出增加。
q137,2,mc,單選題,1,21,21,B,下列敘述何者正確？
q138,2,mc,單選題,2,21,21,A,科學的本質在於
q139,2,mc,單選題,3,21,21,A,科學方法
q140,2,mc,單選題,4,21,21,D,如果經濟學家要驗證「當政府印太多鈔票時，會引發高度的物價膨脹」的理 論主張時，經濟學家會蒐集和分析哪些資料？
q141,2,mc,單選題,5,22,22,A,經濟學家只能在下列哪一項所提供的自然實驗中尋找有用的資料。
q142,2,mc,單選題,6,22,22,A,為研究國際貿易的影響，經濟學家通常假設全世界
q143,2,mc,單選題,7,22,22,C,在分析貨幣政策效果時，經濟學家可能作何假設？
q144,2,mc,單選題,8,22,22,B,下列關於經濟模型的敘述何者正確？
q145,2,mc,單選題,9,22,22,A,經濟學家在建立模型時通常忽略
q146,2,mc,單選題,10,23,23,D,科學思考的藝術在於決定
q147,2,mc,單選題,11,23,23,B,簡單循環流程圖用來說明
q148,2,mc,單選題,12,23,23,C,簡單循環流程圖只包括下列哪兩類決策者？
q149,2,mc,單選題,13,23,23,B,簡單循環流程圖只包括下列哪兩類市場？
q150,2,mc,單選題,14,23,23,C,下列敘述何者正確？
q151,2,mc,單選題,15,24,24,D,循環流程圖顯示下列哪項的流向？
q152,2,mc,單選題,16,24,24,B,循環流程圖的內外圈顯示下列哪些流向？
q153,2,mc,單選題,17,24,24,C,下列何者是一個經濟體系的視覺模型？
q154,2,mc,單選題,18,24,24,D,家戶不銷售下列哪一項給廠商？
q155,2,mc,單選題,19,24,24,C,下列哪項由家戶流向廠商？
q156,2,mc,單選題,20,25,25,C,下列敘述何者正確？
q157,2,mc,單選題,21,25,25,A,下列哪一項不由廠商流向家戶？
q158,2,mc,單選題,22,25,25,B,下列哪項由廠商流向家戶？
q159,2,mc,單選題,23,25,25,D,簡單的循環流程圖排除了現實世界中的哪一個部門？
q160,2,mc,單選題,24,25,25,D,生產可能曲線的位置決定於下列哪一項？
q161,2,mc,單選題,25,26,26,C,下列敘述何者錯誤？
q162,2,mc,單選題,26,26,26,C,下圖中的哪一點代表經濟成長的概念？
q163,2,mc,單選題,27,26,27,D,下圖中的哪一點代表失業的概念？
q164,2,mc,單選題,28,27,27,B,下圖中的 A 點
q165,2,mc,單選題,29,27,27,B,某一經濟體系由下圖中的 A 點移向 B 點，代表下列哪一個概念？
q166,2,mc,單選題,30,28,28,D,某一經濟體系由下圖中的 A 點移向 B 點，表示
q167,2,mc,單選題,31,28,28,D,經濟體系由下圖中的 A 點移向 C 點，表示
q168,2,mc,單選題,32,28,29,C,經濟體系由下圖中的 A 點移向 D 點其可能的原因為
q169,2,mc,單選題,33,29,29,A,在下圖，生產可能曲線那樣的外移方式表示
q170,2,mc,單選題,34,29,30,D,假設某一經濟體系只生產 X 與 Y 兩種商品。下列何者代表效率概念？
q171,2,mc,單選題,35,30,30,C,假設某一經濟體系只生產 X 與 Y 兩種商品。當該經濟體系已經在生產可能 曲線上生產時，
q172,2,mc,單選題,36,30,30,D,假設某一經濟體系只生產 X 與 Y 兩種商品。在下列何種情況下， X 與 Y 的產 量可以同時增加？
q173,2,mc,單選題,37,30,30,D,"假設某一經濟體系只生產 X 與 Y 兩種商品。下表顯示 3 種 X 與 Y 的產量組合 X Y 4 300 6 ？ 8 100
 表中「？」的數字為下列何者時，表示其生產可能曲線的形狀呈現向外凸出"
q174,2,mc,單選題,38,30,31,B,假設某一經濟體系只生產 X 與 Y 兩種商品。下表顯示 5 種 X 與 Y 的產量組合 X Y 400 0 300 200 200 350 100 450 0 500 當該經濟體系的 X 產量由 200 增加為 300 時，其機會成本為
q175,2,mc,單選題,39,31,31,C,假設某一經濟體系只生產 X 與 Y 兩種商品。下表顯示 5 種 X 與 Y 的產量組合 X Y 400 0 300 200 200 350 100 450 0 500 根據上表下列敘述何者正確？
q176,2,mc,單選題,40,31,31,B,如果國人大量移民海外，則我國的生產可能曲線
q177,2,mc,單選題,41,31,31,A,生產可能曲線的形狀呈現向外凸出是因為
q178,2,mc,單選題,42,31,31,D,生產可能曲線的形狀呈現向外凸出是因為
q179,2,mc,單選題,43,32,32,C,經濟學分成哪兩個主要的次領域？
q180,2,mc,單選題,44,32,32,B,下列哪一項是個體經濟學的研究議題？
q181,2,mc,單選題,45,32,32,C,下列哪一項是總體經濟學的研究議題？
q182,2,mc,單選題,46,32,32,A,如果稅制從現在的所得稅制改成消費稅制，則下列敘述何者錯誤？
q183,2,mc,單選題,47,32,32,D,如果政府調降遺產稅稅率，則政府總稅收
q184,2,mc,單選題,48,32,33,A,經濟學家會因下列何者而有不同的意見。
q185,2,mc,單選題,49,33,33,B,環境經濟學家的工作之一是
q186,2,mc,單選題,50,33,33,B,台積電於 2021 年積極擴廠會造成台灣的
q187,2,instant,即席測驗,1,33,33,C,經濟模型
q188,2,instant,即席測驗,2,33,33,A,在循環流程圖中的生產要素市場，
q189,2,instant,即席測驗,3,33,33,B,生產可能曲線線內的點是
q190,2,instant,即席測驗,4,34,34,D,下列何者不屬於個體經濟學的研究範疇？
q191,2,instant,即席測驗,5,34,34,D,經濟學家有時候會有不同意見是因為他們
q192,2,instant,即席測驗,6,34,34,B,如果稅制從現在的所得稅制改成消費稅制，則下列敘述何者錯誤？
q193,2,draw_tf,繪圖是非題,1,34,34,X,假設某一經濟體系只生產 X 與 Y 兩種商品。其生產可能曲線的形狀呈現向外 凸出是因為機會成本遞減。
q194,2,draw_tf,繪圖是非題,2,35,35,X,假設某一經濟體系只生產 X 與 Y 兩種商品。只有在 X 產業與 Y 產業同時發生 技術進步時， X 與 Y 的產量才可能同時增加。
q195,2,draw_tf,繪圖是非題,3,35,36,O,假設某一經濟體系只生產 X 與 Y 兩種商品。當該經濟體系已經在生產可能曲 線上生產時，在其他條件不變下， X 與 Y 的產量無法同時增加。
q196,2,draw_tf,繪圖是非題,4,36,36,X,假設某一經濟體系只生產 X 與 Y 兩種商品。該經濟體系的 X 與 Y 的產量無法 同時增加。
q197,2,draw_tf,繪圖是非題,5,37,37,O,假設某一經濟體系只生產 X 與 Y 兩種商品。在其他條件不變下，如果該經濟 體系可以在不減少 Y 產量下增加 X 產量，則該經濟體系當前的生產點是無效 率的。
q198,2,draw_tf,繪圖是非題,6,37,37,X,雖然生產可能曲線是一個有用的模型，但它無法顯示經濟成長。
q199,2,draw_tf,繪圖是非題,7,38,38,O,在短期，社會面臨物價膨脹與失業的取捨。
q200,2,draw_tf,繪圖是非題,8,38,38,X,假設某一經濟體系只生產 X 與 Y 兩種商品。在其他條件不變下，如果該人們 對 X 與 Y 的偏好同時提升，則該經濟體系的 X 與 Y 的產量會同時增加。
q201,2,draw_tf,繪圖是非題,9,39,39,X,在其他條件不變下，當本國引進更多的外勞時，本國的生產可能曲線不會受 到影響。
q202,2,draw_tf,繪圖是非題,10,39,39,X,如果國人大量移民海外，則我國的生產可能曲線會往外移。
q203,3,tf,是非題,1,40,40,O,當機會成本固定時，生產可能曲線是一直線。
q204,3,tf,是非題,2,40,40,X,如果一個人選擇自給自足，則其可以消費的產品數量小於他所生產的。
q205,3,tf,是非題,3,40,40,O,如果一個人選擇自給自足，則其生產可能曲線也是其消費可能曲線。
q206,3,tf,是非題,4,40,40,X,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。如果這兩種商品甲的生產力 都高於乙，則甲不會跟乙進行交易。
q207,3,tf,是非題,5,40,40,O,若某一個生產者生產某產品所需的生產要素數量比較少，則我們稱該生產者 對生產該產品具有絕對利益。
q208,3,tf,是非題,6,40,40,X,若某一個生產者生產某產品所需的生產要素數量比較少，則我們稱該生產者 對生產該產品具有比較利益。
q209,3,tf,是非題,7,40,40,O,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。如果甲生產 X 的機會成本較 乙低時，則甲對生產 X 具有比較利益。
q210,3,tf,是非題,8,40,40,X,當某一生產者其生產 X 的機會成本較低時，則他對生產 X 具有絕對利益。
q211,3,tf,是非題,9,40,40,O,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。甲可能同時對生產 X 與 Y 具 有絕對利益。
q212,3,tf,是非題,10,41,41,X,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。甲可能同時對生產 X 與 Y 具 有比較利益。
q213,3,tf,是非題,11,41,41,X,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。當某一個人對某一項產品具 有絕對利益時，則另一個人對另一項產品一定具有絕對利益。
q214,3,tf,是非題,12,41,41,O,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。當某一個人對某一項產品具 有比較利益時，則另一個人對另一項產品一定具有比較利益。
q215,3,tf,是非題,13,41,41,X,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。當某一個人對某一項產品具 有比較利益時，則這個人對這項產品一定具有絕對利益。
q216,3,tf,是非題,14,41,41,X,假設只有甲與乙兩個人且只有 X 與 Y 兩種商品。當某一個人對某一項產品具 有絕對利益時，則這個人對這項產品一定具有比較利益。
q217,3,tf,是非題,15,41,41,O,專業化生產與交易所產生的利得並非立基於絕對利益而是立基於比較利益。
q218,3,tf,是非題,16,41,41,X,假設只有甲與乙兩個人，只有 X 與 Y 兩種商品且甲對 X 具有絕對利益。當兩 人進行交易時，甲一定會出售 X 。
q219,3,tf,是非題,17,41,41,O,當每個人都專業化生產其具比較利益的產品時，整個經濟的總產出會增加。
q220,3,tf,是非題,18,41,41,X,因為交易會讓人們專業化生產其具有絕對利益的產品，所以交易可以使得每 個人都獲利。
q221,3,tf,是非題,19,41,41,O,如果雙方要能同時獲利，則交易價格須介在雙方的機會成本之間。
q222,3,tf,是非題,20,42,42,X,如果交易價格不是位在雙方的機會成本之間，則雙方都不願意進行交易。
q223,3,tf,是非題,21,42,42,O,如果交易價格位在雙方的機會成本之間，則雙方所付出的代價均小於其機會 成本。
q224,3,tf,是非題,22,42,42,X,經濟學家主要基於絕對利益原則而反對限制貿易。
q225,3,tf,是非題,23,42,42,O,國外生產且在本國銷售的商品稱為進口，而本國生產且在國外銷售的商品稱 為出口。
q226,3,tf,是非題,24,42,42,X,假設只有美國與日本兩個國家，且只有食物與汽車兩種商品。再假設美國工 人與日本工人對生產汽車有相同的生產力，且美國工人生產食物的生產力要 高於日本。在此情況下，美國對生產食物同時具有絕對利益與比較利益。
q227,3,tf,是非題,25,42,42,X,假設只有美國與日本兩個國家，且只有食物與汽車兩種商品。再假設美國工 人與日本工人對生產汽車有相同的生產力，且美國工人生產食物的生產力要 高於日本。在此情況下，日本會進口食物，但不會出口汽車，因為日本工人 的汽車生產力沒有美國高。
q228,3,tf,是非題,26,42,42,O,假設只有美國與日本兩個國家，且只有食物與汽車兩種商品。再假設美國工 人與日本工人對生產汽車有相同的生產力，且美國工人生產食物的生產力要 高於日本。在此情況下，當兩國進行貿易時，美國汽車工人可能變得更差。
q229,3,tf,是非題,27,42,42,O,假設只有美國與日本兩個國家，且只有食物與汽車兩種商品。再假設美國工 人與日本工人對生產汽車有相同的生產力，且美國工人生產食物的生產力要 高於日本。在此情況下，當兩國進行貿易時，美國農民會變得更好。
q230,3,tf,是非題,28,42,42,O,國際貿易雖可能使整個國家變得更好，但有時會使某些人變得更差。
q231,3,tf,是非題,29,43,43,X,國際貿易就像球賽那樣，有贏家也有輸家，亦即當某個國家享有貿易利得 時，一定會有其他國家遭受貿易損失。
q232,3,tf,是非題,30,43,43,X,比爾．蓋茲很會修剪草坪，所以他常幫鄰居修剪草坪。
q233,3,tf,是非題,31,43,43,O,跟中國貿易可以提升大多數美國人的福祉，這主要是因為美國人可以買到中 國製造或組裝的比較便宜的商品。
q234,3,mc,單選題,1,43,43,C,由於人們彼此交易，所以形成了下列何者關係？
q235,3,mc,單選題,2,43,43,C,生產可能曲線是一直線表示
q236,3,mc,單選題,3,43,43,C,"假設某一經濟體系只生產 X 與 Y 兩種商品。下表顯示 3 種 X 與 Y 的產量組合 X Y 4 300 6 ？ 8 100
 表中「？」的數字為下列何者時，表示其生產可能曲線的形狀是一直線。"
q237,3,mc,單選題,4,44,44,B,當一經濟體系選擇自給自足時，
q238,3,mc,單選題,5,44,44,B,假設某一經濟體系只生產 X 與 Y 兩種商品，且 1 單位 X 的機會成本固定為 1 單位的 Y 。下列哪項商品數量組合可能位在其生產可能曲線上？
